"Video Explanation","FFF-Video","Exercise Name","Exercise Description","Repetitions","Sets","Load","Recovery Time","Type","Muscle Group","ID","Created Date","Updated Date","Owner"
,,"Prowler Push","Lean forward and drive through your legs, pushing a weighted sled (prowler) across the floor. Maintain a low forward body position and a strong arm drive. Keep a consistent stride and focus on powerful acceleration.","10m","3","60% 1RM","60s","[""Strength-Speed"",""Acceleration""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves""]","321bb57a-2b7a-4bb8-946d-e1e5be6c32ca",2025-02-05T11:42:24Z,2025-02-19T00:41:05Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Half-Kneeling Hip Flexor Stretch","Start in a half-kneeling position with one knee on the ground and the other leg bent in front of you at a 90-degree angle. Tuck your pelvis slightly by engaging your glutes, and shift your hips forward until you feel a stretch in the hip flexor of your rear leg. Keep your chest upright and avoid overarching your lower back. For a deeper stretch, raise the arm on the same side as the kneeling leg and reach slightly overhead and across your body.","10 (5x10s each side)","1","'-","'-","[""Pre-Training""]","[""Hip Flexors"",""Quadriceps""]","3221d5c8-bc4f-4bc7-b2d2-98cfe8108270",2025-01-23T19:14:12Z,2025-02-05T05:38:32Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Hip Lock","Stand on one leg, bringing your opposite knee to hip height while keeping your ankle dorsiflexed. Maintain this position without swaying, engaging your glutes and core to stabilise. Hold for the prescribed time.","20s","3","'-","45s","[""Stability / Balance"",""Prehab / Injury Prevention""]","[""Glutes"",""Core"",""Hip Stabilisers""]","3224fc82-4b37-4396-89b8-3a1be47774dd",2025-02-05T11:37:25Z,2025-02-19T00:06:51Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"World's Greatest + Lunge Hold with Rotation","Step into a long lunge with your hands on the floor inside the front foot. Keep the back leg straight and hips low. Lift the inside arm and rotate your torso, opening the chest fully towards the front leg. Hold this position briefly, then return the hand to the ground and maintain the lunge hold for an extra moment before stepping back. Repeat on the other side. Emphasise length through the spine and controlled rotation.","10 (5 each side)","1","'-","'-",,,"32a37d07-6949-4c67-82d2-7a90a4b9c2ec",2025-05-22T18:21:15Z,2025-05-22T18:21:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Adductor Slide on Exercise Ball","Stand upright with one foot resting lightly on top of a medium-sized exercise ball beside you. Keeping the standing leg straight but not locked, slowly allow the foot on the ball to roll outward, lengthening the inner thigh. Maintain a tall posture and avoid leaning. Once you reach a controlled end range, engage the adductors of the standing leg to return to the start. Keep the movement smooth and avoid letting the ball roll too far out of control.","16 (8 each side)","1","'-","'-",,,"33e9ba5e-4078-4fe2-9afe-68100573f995",2025-05-22T18:22:12Z,2025-05-22T18:22:28Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"3 March to Deceleration","Perform three high-knee marching steps, lifting your knees to waist height while keeping your core tight and posture upright. On the third step, transition into an immediate controlled deceleration, lowering into a stable position by absorbing force through your glutes and quads. Ensure your landing is controlled and balanced.",,,"'-","90s","[""Deceleration""]","[""Quadriceps"",""Glutes"",""Hamstrings"",""Calves"",""Core""]","3486daf2-2751-4954-992f-91705b7f8378",2025-01-23T21:19:34Z,2025-02-05T08:40:27Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Prone Deadbugs with Sliders","Begin in a prone position with sliders under your feet and hands. Extend opposite arm and leg simultaneously, maintaining core stability. Control the return before switching sides.","16 (8 each side)","3","'-","45s","[""Stability / Balance"",""Prehab / Injury Prevention""]","[""Core"",""Hip Flexors""]","34c3ab6b-8ca4-4aac-9488-85bf94160805",2025-02-05T11:40:34Z,2025-04-04T21:17:39Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Straight Leg Sprints into Sprints","Accelerate as quickly as possible while maintaining straight legs rather than the usual bend at the knee. Once you reach a fast speed, switch into regular sprinting form for the remaining distance.","80m (4x20m)","4","'-","Full","[""Max Velocity""]","[""Glutes"",""Hamstrings"",""Quadriceps"",""Calves""]","3520fa79-3bc6-4aa4-86aa-1b4fcd7f2a86",2025-01-26T17:08:02Z,2025-02-05T07:17:23Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Prone Hip Extensions","Perform the Prone Hip Extension, but with a slow eccentric phase to focus on glute and hamstring control. Keep your core engaged throughout.","16 (8 each side)","3","Bodyweight","45s","[""Strength-Speed"",""Prehab / Injury Prevention""]","[""Glutes"",""Hamstrings""]","354255c7-58de-4a1e-b395-cdee6bacdc51",2025-02-05T11:37:09Z,2025-02-19T00:39:08Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"High-Knee Skip Sprint","Initiate a skipping motion, driving one knee upwards so that it Is parallel to the ground or higher. Swing the opposite arm forward to mimic sprinting mechanics. Land softly on the balls of your feet and immediately spring into the next skip, minimising contact time with the ground.","1x20m","5","'-","Full","[""Max Velocity""]","[""Hip Flexors"",""Glutes"",""Quadriceps"",""Calves""]","36249a50-779d-4cde-a49b-ea958d7538d8",2025-02-03T22:06:16Z,2025-02-05T05:40:35Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Barbell Upright Row","Stand tall with a barbell in front of you, holding it with a shoulder-width overhand grip. Keeping the bar close to your body, pull it upwards towards your chin, leading with your elbows. Pause briefly at the top, then lower it under control back to the start. Maintain a stable posture and avoid excessive shrugging.","12","3","50% 1RM","60s","[""Max Power"",""Strength-Speed""]","[""Shoulders"",""Upper Back"",""Traps""]","365b6d0c-2f79-4613-b9b0-8b0cd3869a08",2025-02-05T11:34:06Z,2025-02-18T23:42:19Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Assisted Change of Direction","Start with a resisted band connected around your waist and stand laterally away from the band holder. Leap away from the band holder so that the band comes under tension. Immediately swing your back hip round towards the band holder and begin to sprint in that direction. The band holder can let go after this turn and move out of the way while you continue to sprint through 10 metres.","6x10m (3x10m each side)","2","'-","90s","[""Change Of Direction""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Core""]","36b3a05e-6113-4eb2-a072-8cc8293e1f46",2025-02-05T08:49:34Z,2025-04-04T22:20:36Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Continuous Hurdle Hops","Set a series of low hurdles spaced evenly. Begin with feet shoulder-width apart and hop over each hurdle continuously without pausing, landing with soft knees and quickly reloading into the next jump. Focus on minimal ground contact time and consistent rhythm. Use the arms to maintain momentum and keep your chest tall throughout the sequence.","16 (8 each side)","3","'-","75s",,,"36f39a5d-85fa-41d6-adc1-548bec501de3",2025-05-21T12:14:05Z,2025-05-21T12:14:07Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Forward Leap","Stand in an athletic stance and load your hips by dropping slightly. Swing your arms and jump forward explosively, landing softly on both feet. Absorb the landing through the hips and reset before repeating.","5","3","'-","75s",,,"36f93978-8e36-4abc-b840-e7fe8a0721d7",2025-05-22T18:21:39Z,2025-05-22T18:22:10Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Double Leap Headers","Start on your toes with arms raised above head to stretch as tall as possible. Throw your heels down to the ground violently at the same time as your arms and entire weight. You should finish in a
controlled squat position. From there, immediately leap as far in front of yourself as possible. Upon
landing in the same squatted position, maintain momentum while immediately jumping as high as
possible into the air. Have your partner throw the ball in at a 
challenging height you can only reach at full stretch. The aim is to get any touch on the ball.","4","3","'-",,"[""Max Power""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves"",""Core""]","37b68a37-2b62-4adb-b10b-232992c7b4db",2025-02-05T08:46:51Z,2025-02-05T10:51:33Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Drop Jump + Split Squat +
Lateral Hop","Start with both of your heels on the edge of a box and then step off, allowing gravity to take you towards the ground. Immediately jump vertically. Land this jump in a split squat with one leg out in
front of you and the other’s knee facing down towards the ground. Having controlled the
momentum in this split squat, hop laterally to the side off of your front foot as far as possible onto the original back foot. That means hopping off the left foot onto the right if the left foot is out in front of you in the split squat and vice versa for the other side.","10 (5 each side)","3","'-",,"[""Max Power""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves""]","37db3831-366c-4bb2-b64e-d09aaf790c06",2025-02-05T09:18:26Z,2025-02-05T10:52:07Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Side-Lying Adductor Holds","Lie on your side with a foam roller or yoga block between your knees. Squeeze the roller and hold for 10 seconds before releasing. This strengthens the adductors and supports pelvic alignment.","10s holds","2","'-","'-","[""Prehab""]","[""Adductors"",""Hip Stabilisers""]","37f5c0de-7e66-4324-b786-cfbcab5ceeb5",2025-02-27T23:25:13Z,2025-02-27T23:25:53Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Lateral Shuffle, Turn and
Sprint","Shuffle laterally, then turn 90 degrees into a full sprint. Focus on quick transitions and explosive push offs. Open your hips on the turn and whip the back hip around first before attacking the ground to accelerate off in a smooth motion.","4 (2 each side)","5","'-",,"[""Change Of Direction"",""Acceleration""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Core""]","3873611e-88f4-4524-85f0-48ab3f65927d",2025-02-05T09:36:46Z,2025-02-05T10:56:43Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Prone Bosch Hold - GHD","Secure yourself face down on a GHD machine, maintaining a neutral spine and extended hip position. Engage your glutes and hamstrings to hold your torso in a straight line. A partner may apply light perturbations for added challenge.","20s","3","'-","45s","[""Stability / Balance"",""Prehab / Injury Prevention""]","[""Hamstrings"",""Glutes"",""Core""]","38ab80b3-d635-46d8-918f-3a1e6068b286",2025-02-05T11:37:52Z,2025-04-04T21:17:52Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Barbell Power Row","Stand with your feet shoulder-width apart, holding a barbell in front of your thighs with an overhand grip. Hinge at the hips, keeping your back flat while slightly bending your knees for stability. Keep your chest lifted and shoulders back, then explosively pull the bar towards your lower chest by driving your elbows backward. Squeeze your shoulder blades together at the top of the movement, then lower the bar back to the starting position in a controlled manner.","5","3","40kg*","90s","[""Max Power""]","[""Upper Back"",""Lats"",""Biceps"",""Core""]","38e658ee-6b3f-4d64-84b6-8fcda70db50c",2025-02-03T21:41:25Z,2025-02-05T08:33:54Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Kneeling SA Dumbbell Press","Start in a half-kneeling position, with your back knee on the ground and front foot flat. Hold a dumbbell in the hand opposite to the front leg at shoulder height. Keep your core engaged and press the dumbbell overhead, avoiding excessive leaning. Lower under control before repeating.","16 (8 each side)","3","30% 1RM","60s","[""Max Power"",""Strength-Speed""]","[""Shoulders"",""Triceps"",""Core""]","38e7063e-2428-4a5c-8e62-b936b2a82bd6",2025-02-05T11:34:30Z,2025-03-21T19:52:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Copenhagen Adduction Plank (Knee-Supported)","Lie on your side next to a bench and position your top leg on the bench with your knee bent at 90 degrees. Support yourself on your forearm and lift your hips, keeping your bottom leg off the ground. Hold this position while keeping your core engaged and hips aligned. To regress, lower your bottom knee to the floor for extra support.","20 (10 each side)","3","'-","60s","[""Stability"",""Prehab""]","[""Adductors"",""Core"",""Hip Stabilisers""]","39162773-a540-4908-a32d-917e1498210d",2025-02-04T10:31:04Z,2025-02-05T08:41:32Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Wall Ankle Mobilisation (Knee-to-Wall)","Face a wall and place your toes a few inches away from it. Bend your knee and gently drive it toward the wall, keeping your heel planted. Move your knee in and out from the wall based on your mobility.","60s (right side only)","1","'-","'-","[""Pre-Training""]","[""Calves"",""Tibialis Anterior"",""Ankle Mobility""]","39556373-622f-498f-b61d-a60d56f3e0c8",2025-01-29T07:36:08Z,2025-02-05T07:15:01Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Barbell Chaos Walks","Hold a barbell in the front rack position while walking slowly and deliberately, ensuring minimal movement of the barbell. Maintain core engagement and an upright posture to stabilise against barbell instability.","20m","3","40% 1RM","60s","[""Stability / Balance"",""Strength-Speed""]","[""Core"",""Shoulders"",""Quadriceps""]","39752c81-09c4-40be-ab0a-5f713210c011",2025-02-05T11:38:36Z,2025-02-18T20:53:33Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Prone Jack Knife w Slider Unilateral","Perform the Prone Jack Knife w Slider, but with one leg extended while the other drives towards the chest. Alternate sides while maintaining core stability.","16 (8 each side)","3","'-","60s","[""Strength-Speed"",""Stability / Balance""]","[""Core"",""Hip Flexors""]","39b78ac7-359c-45f6-b640-23a93e167b50",2025-02-05T11:40:34Z,2025-04-04T21:17:38Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Assisted Nordic Hamstring Curl","Tie a large resistance band to a squat rack frame or similarly sturdy object at shoulder-height. Kneel down in front of the frame while facing away from it and hold the end of the resistance band in both hands in front of you. Fall forwards in a Nordic motion while extending your legs to straighten with your face towards the floor. The band should go under tension as you drop to ease your motion and slow the descent.","5","3","Light Resistance Band",,"[""Prehab""]","[""Hamstrings"",""Glutes""]","3a284688-72d0-4b18-9ed3-01544ed01530",2025-02-05T09:45:02Z,2025-02-05T10:49:25Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Drop Squat + Hinge","Start from a neutral position standing and on the balls of your feet. Lift both feet slightly off the ground such that gravity pulls you down towards the ground. Allow your body to fall into a squatted position by dropping your hips back and simultaneously hinge forwards at the hips to keep your shoulders over your toes. Stick the landing point and hold momentarily.","2","'-","10","45s",,,"3aa220c7-058e-4f2b-9fed-9b8ecf8676b9",2025-04-20T20:24:45Z,2025-04-20T20:24:46Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Pogos - Diagonal (Backward)","Stand on the balls of your feet, bouncing backwards diagonally with quick, reactive movements. Keep knees slightly bent and minimal ground contact time.","20 (10 each side)","3","'-","45s","[""Max Velocity""]","[""Calves"",""Hip Flexors""]","3aef652c-63be-49af-a7e3-355cf9f53c4c",2025-02-05T11:32:04Z,2025-04-21T16:12:00Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Incline Bench Curls","Lie on an incline bench, holding dumbbells with an underhand grip. Curl the dumbbells towards your shoulders, keeping your elbows stationary. Lower under control and repeat.","12","3","50% 1RM","60s","[""Hypertrophy / Isolation""]","[""Biceps""]","3b9cc98f-67b5-49f0-b462-9794ec33898b",2025-02-05T11:35:39Z,2025-02-19T00:08:08Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Bear Wall Hold","Position yourself on all fours facing a wall, with your hands under your shoulders and knees under your hips. Lift your knees just off the ground so that they hover an inch or two above the floor – keeping your back flat and core braced. Now press each hand firmly against the wall in front of you while your feet stay planted. Hold this position by actively pressing into the wall with your palms and pushing your heels backwards as if dragging the floor. The goal is full tension across the core, shoulders and hips while maintaining perfect posture. Keep the neck neutral and avoid arching through the lower back. Breathe steadily while holding. If unable to complete without affecting your posture, drop the duration but focus on the technique.","120s","1","'-","'-",,,"3bcbaacd-d3cf-4589-8752-50dcc5f282b0",2025-04-21T20:43:37Z,2025-04-21T20:43:56Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Lateral Pendulum Bounce","Start with one foot slightly in front of the other shoulder-width apart. With a small bend in the knees, push off both feet to bounce laterally to one side only about the distance of one step. In the air, shift your weight backwards onto the back foot and upon landing by opening that hip and dropping the knee slightly on the same side, then immediately bounce backwards to your starting position. Aim for minimal time between each bounce but hold in that starting position, ensuring you keep your centre of mass neutral and slightly in the direction you will next travel. Think about stepping past the ball but immediately retreating behind it again.","20 (10 each side)","3","'-","60s",,,"3c327159-3843-4d4d-91d0-92286ddb2fc8",2025-04-21T17:37:09Z,2025-04-21T17:37:20Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Long Lever Bosch Hold - Unilateral GHD","Position yourself on a GHD machine, securing one leg while the other remains free. Maintain a straight body position, engaging your core and hamstrings to resist movement. Hold the position. A partner may apply perturbations for added challenge.","20s","3","'-","45s","[""Stability / Balance"",""Prehab / Injury Prevention""]","[""Hamstrings"",""Glutes"",""Core""]","3c435f82-b76b-4715-a859-dfa7dface8cf",2025-02-05T11:37:38Z,2025-04-04T21:17:52Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Double Leg Bosch Hold + Perturbation GHD","Secure yourself in a GHD machine, maintaining a neutral spine and a straight-line position. A partner applies perturbations (light pressure) to challenge stability. Engage your glutes, hamstrings and core to resist movement. Hold for the prescribed time.","20s","3","'-","45s","[""Stability / Balance"",""Prehab / Injury Prevention""]","[""Hamstrings"",""Glutes"",""Core""]","3d39125d-4608-48c4-b90e-bbb9ac5661cb",2025-02-05T11:37:38Z,2025-04-04T21:17:53Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Crossover Continuous","Perform the crossover step repeatedly in one direction, maintaining quick, controlled foot movements and ensuring minimal ground contact time. Keep your upper body stable and vision forward.","20m","3","'-","45s","[""Change of Direction"",""Acceleration""]","[""Glutes"",""Hip Flexors"",""Core""]","3d8c9870-dac5-498d-b896-e6337e4e36dd",2025-02-05T11:44:15Z,2025-04-04T21:17:31Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Push-Up into Lunge","Start in a push-up position. Lower your chest to the floor with control and press back up explosively. On the way up, step one foot forward to plant into a deep lunge position. Hold briefly, then return to push-up position and repeat on the other side. Keep the back flat and hips stable throughout the transitions.","16 (8 each side)","3","'-","90s",,,"3db564a6-d068-4a67-941b-1ca064af2d1d",2025-05-21T12:26:59Z,2025-05-21T12:27:01Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Lateral Raises","Stand facing lateral to a cable machine with the handle positioned at the lowest setting. Grip the handle with your outside hand, arm straight down at your side and elbow slightly bent. Brace your core and maintain a stable stance with your knees slightly bent. Lift your arm directly out to the side and away from the machine, until your hand reaches shoulder height, keeping your elbow slightly bent. Pause briefly at the top, maintaining tension in your shoulder, then slowly return to the starting position. Avoid shrugging your shoulder upwards or using momentum to lift the weight. Complete all repetitions on one side before switching to the other.","10 (5 each side)","3","6kg*","75s",,,"3ea9b054-fc87-419e-8f7e-540b819c2110",2025-03-13T21:06:12Z,2025-03-13T21:06:16Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Romanian Deadlift","Stand with your feet shoulder-width apart, holding a barbell with an overhand grip in front of your thighs. Engage your
core and keep your back straight. With a slight bend in your knees, hinge at the hips to lower the barbell towards the
ground, keeping it close to your legs. Lower the barbell until you feel a stretch in your hamstrings, ensuring your back
remains straight. From this position, engage your glutes and hamstrings to return to the starting position by extending
your hips. Focus on maintaining control throughout the movement, emphasising the eccentric phase of the lift.","5","3","80kg*","Full","[""Max Strength""]","[""Hamstrings"",""Glutes"",""Lower Back"",""Core""]","3eb04cf7-e3d8-4e2c-aa75-7ea07768e848",2025-02-03T23:09:14Z,2025-02-05T07:07:41Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Single-Leg Glute Bridge","Lie on your back with one knee bent and foot planted while keeping the other leg extended straight. Engage your core and glutes, pressing through your heel to lift your hips until your body forms a straight line. Hold briefly at the top before lowering with control. Keep your hips level throughout the movement.","10 (5 each side)","3","10kg","60s","[""Stability"",""Prehab""]","[""Glutes"",""Hamstrings"",""Core""]","3f6811b1-ab00-46ca-925a-1cdc3adac011",2025-02-04T10:32:44Z,2025-02-05T08:41:51Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Glute Ham Raise","Secure your feet in a glute-ham developer (GHD) or under a stable anchor, keeping your knees on the pad. Start upright with a straight torso, then lower yourself towards the ground, maintaining control by engaging your glutes and hamstrings. Once at the bottom, pull yourself back up explosively, avoiding excessive use of the lower back.","6","3","'-","60s","[""Hypertrophy/Isolation""]","[""Hamstrings"",""Glutes"",""Lower Back""]","3fc1f7b8-3e09-42ea-aa68-f0093c1577cc",2025-01-23T14:48:38Z,2025-02-05T05:37:09Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Quadruped T-Spine Rotation","Start on all fours with your wrists under your shoulders and knees under your hips. Place one hand behind your head with your elbow pointing out to the side. Rotate your torso, bringing your elbow down towards your opposite arm, then open up by rotating your elbow toward the ceiling. Keep your hips stable throughout the movement.","10 (5 each side)","1","'-","'-","[""Pre-Training""]","[""Thoracic Spine"",""Core"",""Shoulders""]","3fded26c-c0d5-4c5c-8729-2ee327805ef0",2025-01-23T19:13:13Z,2025-02-05T07:07:00Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"wix:video://v1/c4f4b1_493daa7e3b534266a8cf1cabb9434a44/Countermovement%20Jump#posterUri=c4f4b1_493daa7e3b534266a8cf1cabb9434a44f000.jpg&posterWidth=480&posterHeight=848",true,"Countermovement Jump","Stand tall with your feet shoulder-width apart. Quickly drop into a quarter squat, keeping your chest up and arms swinging back. Without pausing at the bottom, explode upwards, extending your hips, knees and ankles fully. Land softly, absorbing the impact through your legs before resetting.","1","3","'-","Full","[""Testing""]","[""Glutes"",""Quadriceps"",""Hamstrings"",""Calves""]","402bc166-683b-4547-86b3-2cf6a958ee05",2025-01-22T13:46:30Z,2025-03-21T19:47:53Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Lat Flexions with Band","Attach a resistance band to a low or mid-height anchor and stand sideways to the anchor point. Hold the band with one hand and extend your opposite arm overhead. Keeping your core engaged, lean sideways away from the anchor, feeling a deep stretch in your lat. Return to the starting position with control and repeat before switching sides.",,,"'-","45s","[""Mobility""]","[""Lats"",""Shoulders"",""Upper Back""]","40936d58-7878-448e-a95c-f8561ac24f24",2025-01-23T20:57:46Z,2025-02-05T08:43:03Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Crossover Step Banded","Attach a resistance band around your waist, securing it to a side anchor. Perform a crossover step, stepping laterally and crossing one foot over the other while resisting the pull of the band. Keep your hips stable and maintain quick footwork.","16 (8 each side)","3","Moderate-Resistance Band","60s","[""Change of Direction"",""Stability / Balance""]","[""Glutes"",""Hip Flexors"",""Core""]","409a680e-e764-4577-be63-388d9630a08a",2025-02-05T11:44:15Z,2025-02-18T23:54:27Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Superman Planks","Assume a plank position with your forearms on the ground and your body in a straight line from head to heels. Engage
your core and glutes to maintain stability. Extend one arm straight out in front of you while simultaneously lifting the
opposite leg off the ground. Hold this position for a few seconds, ensuring your hips and shoulders remain level. Lower your arm and leg back to the starting position and repeat on the opposite side. Continue alternating sides for as long
as possible.","A.L.A.P.","3","'-","90s","[""Stability""]","[""Core"",""Lower Back"",""Shoulders""]","40f958cc-7d4b-434c-9eb1-b702f69b0ce8",2025-02-03T23:05:56Z,2025-09-04T09:10:37Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Knee-to-Wall Ankle Mobility","Stand a few inches away from a wall with your toes pointed straight ahead. Keeping your heel planted, drive your knee forward towards the wall without lifting your heel. If you reach the wall easily, step slightly farther back and repeat. Maintain a neutral foot position and avoid collapsing your arch or letting your knee drift excessively inward or outward.","8 (4x10s holds each side)","1","'-","'-","[""Pre-Training""]","[""Calves"",""Tibialis Anterior""]","417f53fb-f92b-47ca-809a-7ead71dfbe31",2025-01-23T19:12:42Z,2025-02-05T05:46:09Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"wix:video://v1/c4f4b1_8ae9fbe4288b436c82b65b01b3ae69b7/L-Holds#posterUri=c4f4b1_8ae9fbe4288b436c82b65b01b3ae69b7f000.jpg&posterWidth=480&posterHeight=848",,"L-Holds","Hold onto a bar above your head with both arms so that you are hanging in the air. From this position, bring both legs upwards so that they hold a straight line directly in front of you. Your body should form an L-shape if seen from the side. Hold this position for as long as possible. If you are unable to create the L-shape at all, lower both legs slightly to the ground but maintain them in a straight line out in front of you.","A.L.A.P.","3","'-","60s","[""Hypertrophy/Isolation"",""Stability""]","[""Core"",""Hip Flexors"",""Shoulders""]","41cb786c-9ce0-475a-9741-e091eecb5864",2025-02-03T21:29:40Z,2025-03-21T19:52:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Banded Single-Leg Romanian Deadlift","Attach a resistance band to a low anchor and hold it with one hand under slight tension. Stand on the opposite leg and hinge at the hips, keeping your back straight and extending the free leg behind you. Lower until you feel a stretch in your hamstring, then return to standing.","12 (6 each side)","3","Heavy Resistance Band","60s","[""Stability"",""Prehab""]","[""Hamstrings"",""Glutes"",""Core"",""Ankle Stabilisers""]","429f98bf-8d5b-4871-a080-53bc53990ec3",2025-01-29T07:38:01Z,2025-02-05T05:21:02Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Kettlebell Swings","Stand with your feet shoulder-width apart, holding a kettlebell with both hands in front of you. Engage your core and keep your chest up. Hinge at the hips and bend your knees slightly, allowing the kettlebell to swing back between your legs. From this position, explosively extend your hips, driving them forward to swing the kettlebell up to shoulder height. Allow the kettlebell to swing back down between your legs as you hinge at the hips again. Focus on using your hips to generate power, rather than your arms. Repeat for the prescribed number of repetitions, maintaining a rhythmic and powerful motion.","10","3","24kg*","90s","[""Max Power"",""Strength-Speed""]","[""Glutes"",""Hamstrings"",""Core""]","42d2c940-01ad-4dfa-9c94-9dfba6cb6d11",2025-02-03T23:08:42Z,2025-02-05T08:31:44Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Seated Overhead Dumbbell Press","Sit on a bench with a dumbbell in each hand, pressing the weights overhead until arms are fully extended. Lower under control and repeat. Keep your core engaged throughout.","12","3","50% 1RM","60s","[""Max Power"",""Strength-Speed""]","[""Shoulders"",""Triceps"",""Core""]","42f4693f-dc1b-4f9e-accd-9574a94d2e9d",2025-02-05T11:34:30Z,2025-04-20T19:42:36Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"wix:video://v1/c4f4b1_b5acea46619f4ddab867ea293cbce729/Prowler%20Sprint#posterUri=c4f4b1_b5acea46619f4ddab867ea293cbce729f000.jpg&posterWidth=1920&posterHeight=1080",,"Sled Sprint Start","Lean forward into an acceleration position against the sled, keeping your knees high and driving forcefully through the ground. Sprint for the designated distance, focusing on maintaining consistent knee drive and explosive power.","5","3","40kg","Full","[""Acceleration""]","[""Glutes"",""Hamstrings"",""Quadriceps"",""Calves""]","4358cbe1-41db-46d6-b9cf-88c784a449da",2025-01-16T08:52:29Z,2025-03-21T20:08:37Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Standing Knee Hugs with Ankle Rolls","Pull one knee towards your chest, hold it for a few seconds while rotating your ankle to activate the ankle joint. Perform on each side.","16 (8 each side)","1","'-","'-","[""Pre-Training""]",,"43c1f9b6-2746-483f-8c95-b236185bad81",2025-03-07T12:49:44Z,2025-04-04T22:42:34Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,,"Band Resisted Lunge Drop (Static)","Attach a resistance band around your waist, anchoring it behind you. Start in a split squat position with your front foot planted. Lift your front foot slightly, allowing gravity to drop you into a deeper lunge before pushing back up. Maintain core stability throughout.","16 (8 each side)","3","Moderate-Resistance Band","60s","[""Deceleration"",""Strength-Speed""]","[""Quadriceps"",""Glutes"",""Core""]","43f53e62-4092-4fbb-90b0-0582d77c7581",2025-01-23T21:22:00Z,2025-02-18T23:37:25Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
